id,分野,難易度,問題,A,B,C,D,正解,解説,出題済み
G2-001,AI史,標準,第一次AIブームの説明として最も適切なものはどれか。,探索と推論を中心に知的処理を実現しようとした時期,Transformerが登場した後の生成AI技術,正解ラベルを自動で付ける作業,画像を小さくする前処理,A,正解は「探索と推論を中心に知的処理を実現しようとした時期」。第一次AIブームは似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-002,AI史,標準,第二次AIブームの説明として最も適切なものはどれか。,Transformerが登場した後の生成AI技術,エキスパートシステムが注目された時期,正解ラベルを自動で付ける作業,画像を小さくする前処理,B,正解は「エキスパートシステムが注目された時期」。第二次AIブームは似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-003,AI史,難,知識獲得のボトルネックの説明として最も適切なものはどれか。,Transformerが登場した後の生成AI技術,正解ラベルを自動で付ける作業,専門家の知識を人手でルール化することが難しいという問題,画像を小さくする前処理,C,正解は「専門家の知識を人手でルール化することが難しいという問題」。知識獲得のボトルネックは似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-004,AI史,標準,第三次AIブームの説明として最も適切なものはどれか。,Transformerが登場した後の生成AI技術,正解ラベルを自動で付ける作業,画像を小さくする前処理,ビッグデータ・計算資源・深層学習の発展に支えられた時期,D,正解は「ビッグデータ・計算資源・深層学習の発展に支えられた時期」。第三次AIブームは似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-005,AI史,標準,AlexNetの説明として最も適切なものはどれか。,2012年の画像認識で深層学習の有効性を示したCNN系モデル,Transformerが登場した後の生成AI技術,正解ラベルを自動で付ける作業,画像を小さくする前処理,A,正解は「2012年の画像認識で深層学習の有効性を示したCNN系モデル」。AlexNetは似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-006,AI史,標準,ELIZAの説明として最も適切なものはどれか。,Transformerが登場した後の生成AI技術,初期の自然言語対話プログラム,正解ラベルを自動で付ける作業,画像を小さくする前処理,B,正解は「初期の自然言語対話プログラム」。ELIZAは似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-007,AI史,標準,MYCINの説明として最も適切なものはどれか。,Transformerが登場した後の生成AI技術,正解ラベルを自動で付ける作業,医療診断支援のエキスパートシステム,画像を小さくする前処理,C,正解は「医療診断支援のエキスパートシステム」。MYCINは似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-008,AI史,難,AlphaGoの説明として最も適切なものはどれか。,Transformerが登場した後の生成AI技術,正解ラベルを自動で付ける作業,画像を小さくする前処理,深層学習や強化学習を組み合わせて囲碁で成果を示したAI,D,正解は「深層学習や強化学習を組み合わせて囲碁で成果を示したAI」。AlphaGoは似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-009,AI基礎,標準,フレーム問題の説明として最も適切なものはどれか。,行動に関係する事柄だけを適切に選び出すことが難しい問題,学習率を自動調整する手法,画像分類の評価指標,外部文書を検索する生成手法,A,正解は「行動に関係する事柄だけを適切に選び出すことが難しい問題」。フレーム問題は似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-010,AI基礎,標準,シンボルグラウンディング問題の説明として最も適切なものはどれか。,学習率を自動調整する手法,記号や言葉が現実の意味にどう接地するかという問題,画像分類の評価指標,外部文書を検索する生成手法,B,正解は「記号や言葉が現実の意味にどう接地するかという問題」。シンボルグラウンディング問題は似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-011,AI基礎,標準,チューリングテストの説明として最も適切なものはどれか。,学習率を自動調整する手法,画像分類の評価指標,機械の応答が人間と区別できるかを調べる考え方,外部文書を検索する生成手法,C,正解は「機械の応答が人間と区別できるかを調べる考え方」。チューリングテストは似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-012,AI基礎,難,身体性の説明として最も適切なものはどれか。,学習率を自動調整する手法,画像分類の評価指標,外部文書を検索する生成手法,知能が身体や環境との相互作用と関係するという考え方,D,正解は「知能が身体や環境との相互作用と関係するという考え方」。身体性は似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-013,機械学習,標準,教師なし学習の説明として最も適切なものはどれか。,正解ラベルなしでデータの構造を見つける学習,文章を生成するLLM専用技術,個人情報を匿名化する制度,画像の解像度を上げる処理,A,正解は「正解ラベルなしでデータの構造を見つける学習」。教師なし学習は似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-014,機械学習,標準,クラスタリングの説明として最も適切なものはどれか。,文章を生成するLLM専用技術,似たデータ同士をグループ分けする手法,個人情報を匿名化する制度,画像の解像度を上げる処理,B,正解は「似たデータ同士をグループ分けする手法」。クラスタリングは似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-015,機械学習,難,k-means法の説明として最も適切なものはどれか。,文章を生成するLLM専用技術,個人情報を匿名化する制度,重心に基づきデータをクラスタに割り当てる手法,画像の解像度を上げる処理,C,正解は「重心に基づきデータをクラスタに割り当てる手法」。k-means法は似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-016,機械学習,標準,主成分分析（PCA）の説明として最も適切なものはどれか。,文章を生成するLLM専用技術,個人情報を匿名化する制度,画像の解像度を上げる処理,情報をなるべく保ちながら次元を削減する手法,D,正解は「情報をなるべく保ちながら次元を削減する手法」。主成分分析（PCA）は似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-017,機械学習,標準,回帰の説明として最も適切なものはどれか。,数値など連続値を予測するタスク,文章を生成するLLM専用技術,個人情報を匿名化する制度,画像の解像度を上げる処理,A,正解は「数値など連続値を予測するタスク」。回帰は似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-018,機械学習,標準,分類の説明として最も適切なものはどれか。,文章を生成するLLM専用技術,カテゴリやクラスを予測するタスク,個人情報を匿名化する制度,画像の解像度を上げる処理,B,正解は「カテゴリやクラスを予測するタスク」。分類は似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-019,機械学習,難,ホールドアウト法の説明として最も適切なものはどれか。,文章を生成するLLM専用技術,個人情報を匿名化する制度,データを学習用と評価用に分けて性能を見る方法,画像の解像度を上げる処理,C,正解は「データを学習用と評価用に分けて性能を見る方法」。ホールドアウト法は似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-020,機械学習,難,交差検証の説明として最も適切なものはどれか。,文章を生成するLLM専用技術,個人情報を匿名化する制度,画像の解像度を上げる処理,評価用データを入れ替えながら複数回性能を確認する方法,D,正解は「評価用データを入れ替えながら複数回性能を確認する方法」。交差検証は似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-021,機械学習,標準,正則化の説明として最も適切なものはどれか。,モデルの複雑さを抑え過学習を防ぐ工夫,文章を生成するLLM専用技術,個人情報を匿名化する制度,画像の解像度を上げる処理,A,正解は「モデルの複雑さを抑え過学習を防ぐ工夫」。正則化は似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-022,機械学習,難,L1正則化の説明として最も適切なものはどれか。,文章を生成するLLM専用技術,重みを0にしやすく特徴選択に使われやすい正則化,個人情報を匿名化する制度,画像の解像度を上げる処理,B,正解は「重みを0にしやすく特徴選択に使われやすい正則化」。L1正則化は似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-023,機械学習,難,L2正則化の説明として最も適切なものはどれか。,文章を生成するLLM専用技術,個人情報を匿名化する制度,大きな重みに罰則を与え重みをなめらかに小さくしやすい正則化,画像の解像度を上げる処理,C,正解は「大きな重みに罰則を与え重みをなめらかに小さくしやすい正則化」。L2正則化は似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-024,機械学習,標準,ハイパーパラメータの説明として最も適切なものはどれか。,文章を生成するLLM専用技術,個人情報を匿名化する制度,画像の解像度を上げる処理,学習前に人が設定する学習率などの値,D,正解は「学習前に人が設定する学習率などの値」。ハイパーパラメータは似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-025,機械学習,難,グリッドサーチの説明として最も適切なものはどれか。,候補値の組み合わせを網羅的に試す探索,文章を生成するLLM専用技術,個人情報を匿名化する制度,画像の解像度を上げる処理,A,正解は「候補値の組み合わせを網羅的に試す探索」。グリッドサーチは似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-026,機械学習,難,ランダムサーチの説明として最も適切なものはどれか。,文章を生成するLLM専用技術,候補空間からランダムに組み合わせを選ぶ探索,個人情報を匿名化する制度,画像の解像度を上げる処理,B,正解は「候補空間からランダムに組み合わせを選ぶ探索」。ランダムサーチは似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-027,評価指標,標準,適合率（Precision）の説明として最も適切なものはどれか。,モデルの重みを更新する手法,画像を畳み込む層,陽性と予測したものの中で実際に陽性だった割合,文章を単語に分ける処理,C,正解は「陽性と予測したものの中で実際に陽性だった割合」。適合率（Precision）は似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-028,評価指標,標準,再現率（Recall）の説明として最も適切なものはどれか。,モデルの重みを更新する手法,画像を畳み込む層,文章を単語に分ける処理,実際の陽性をどれだけ陽性と予測できたかの割合,D,正解は「実際の陽性をどれだけ陽性と予測できたかの割合」。再現率（Recall）は似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-029,評価指標,難,偽陽性に関する記述として最も適切なものはどれか。,実際は陰性なのに陽性と予測したもの,モデルの重みを更新する手法,画像を畳み込む層,文章を単語に分ける処理,A,正解は「実際は陰性なのに陽性と予測したもの」。偽陽性は似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-030,評価指標,難,偽陰性に関する記述として最も適切なものはどれか。,モデルの重みを更新する手法,実際は陽性なのに陰性と予測したもの,画像を畳み込む層,文章を単語に分ける処理,B,正解は「実際は陽性なのに陰性と予測したもの」。偽陰性は似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-031,評価指標,難,ROC曲線に関する記述として最も適切なものはどれか。,モデルの重みを更新する手法,画像を畳み込む層,閾値を変えたときの真陽性率と偽陽性率の関係を示す曲線,文章を単語に分ける処理,C,正解は「閾値を変えたときの真陽性率と偽陽性率の関係を示す曲線」。ROC曲線は似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-032,評価指標,難,AUCに関する記述として最も適切なものはどれか。,モデルの重みを更新する手法,画像を畳み込む層,文章を単語に分ける処理,ROC曲線の下側面積で分類性能を見る指標,D,正解は「ROC曲線の下側面積で分類性能を見る指標」。AUCは似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-033,評価指標,標準,平均二乗誤差（MSE）の説明として最も適切なものはどれか。,予測値と実測値の差の二乗平均,モデルの重みを更新する手法,画像を畳み込む層,文章を単語に分ける処理,A,正解は「予測値と実測値の差の二乗平均」。平均二乗誤差（MSE）は似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-034,評価指標,難,RMSEに関する記述として最も適切なものはどれか。,モデルの重みを更新する手法,MSEの平方根で元の目的変数と同じ単位で解釈しやすい指標,画像を畳み込む層,文章を単語に分ける処理,B,正解は「MSEの平方根で元の目的変数と同じ単位で解釈しやすい指標」。RMSEは似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-035,深層学習,標準,活性化関数の説明として最も適切なものはどれか。,個人情報を保護する法律制度,正解ラベルを人手で付ける作業,ニューラルネットワークに非線形性を導入する関数,モデルの出典を保証する仕組み,C,正解は「ニューラルネットワークに非線形性を導入する関数」。活性化関数は似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-036,深層学習,標準,ReLUの説明として最も適切なものはどれか。,個人情報を保護する法律制度,正解ラベルを人手で付ける作業,モデルの出典を保証する仕組み,0以下なら0、正ならそのまま出力する活性化関数,D,正解は「0以下なら0、正ならそのまま出力する活性化関数」。ReLUは似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-037,深層学習,難,シグモイド関数の説明として最も適切なものはどれか。,0から1の範囲の値を出す関数,個人情報を保護する法律制度,正解ラベルを人手で付ける作業,モデルの出典を保証する仕組み,A,正解は「0から1の範囲の値を出す関数」。シグモイド関数は似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-038,深層学習,標準,誤差逆伝播法の説明として最も適切なものはどれか。,個人情報を保護する法律制度,出力側の誤差を入力側へ伝え重み更新に必要な勾配を計算する方法,正解ラベルを人手で付ける作業,モデルの出典を保証する仕組み,B,正解は「出力側の誤差を入力側へ伝え重み更新に必要な勾配を計算する方法」。誤差逆伝播法は似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-039,深層学習,難,勾配消失問題の説明として最も適切なものはどれか。,個人情報を保護する法律制度,正解ラベルを人手で付ける作業,深い層で勾配が小さくなり学習が進みにくくなる問題,モデルの出典を保証する仕組み,C,正解は「深い層で勾配が小さくなり学習が進みにくくなる問題」。勾配消失問題は似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-040,深層学習,難,ドロップアウトの説明として最も適切なものはどれか。,個人情報を保護する法律制度,正解ラベルを人手で付ける作業,モデルの出典を保証する仕組み,学習時に一部ユニットを無効化して過学習を抑える手法,D,正解は「学習時に一部ユニットを無効化して過学習を抑える手法」。ドロップアウトは似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-041,深層学習,標準,バッチ正規化の説明として最も適切なものはどれか。,各層の入力分布を整えて学習を安定させる手法,個人情報を保護する法律制度,正解ラベルを人手で付ける作業,モデルの出典を保証する仕組み,A,正解は「各層の入力分布を整えて学習を安定させる手法」。バッチ正規化は似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-042,深層学習,難,エポックの説明として最も適切なものはどれか。,個人情報を保護する法律制度,学習データ全体を1回学習に使う単位,正解ラベルを人手で付ける作業,モデルの出典を保証する仕組み,B,正解は「学習データ全体を1回学習に使う単位」。エポックは似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-043,深層学習,標準,ミニバッチ学習の説明として最も適切なものはどれか。,個人情報を保護する法律制度,正解ラベルを人手で付ける作業,データを小さなまとまりに分けて重み更新する方法,モデルの出典を保証する仕組み,C,正解は「データを小さなまとまりに分けて重み更新する方法」。ミニバッチ学習は似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-044,深層学習,難,学習率が大きすぎる場合の説明として最も適切なものはどれか。,個人情報を保護する法律制度,正解ラベルを人手で付ける作業,モデルの出典を保証する仕組み,最適値を飛び越えて損失が安定しにくい,D,正解は「最適値を飛び越えて損失が安定しにくい」。学習率が大きすぎる場合は似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-045,深層学習,難,学習率が小さすぎる場合の説明として最も適切なものはどれか。,更新幅が小さく学習が非常に遅くなりやすい,個人情報を保護する法律制度,正解ラベルを人手で付ける作業,モデルの出典を保証する仕組み,A,正解は「更新幅が小さく学習が非常に遅くなりやすい」。学習率が小さすぎる場合は似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-046,CNN,標準,畳み込み層の説明として最も適切なものはどれか。,文章の語順を表すAttention機構,局所的な特徴をフィルタで抽出する層,報酬を最大化する方策,個人情報を匿名化する処理,B,正解は「局所的な特徴をフィルタで抽出する層」。畳み込み層は似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-047,CNN,標準,プーリング層の説明として最も適切なものはどれか。,文章の語順を表すAttention機構,報酬を最大化する方策,特徴マップのサイズを縮小し位置ずれにある程度頑健にする層,個人情報を匿名化する処理,C,正解は「特徴マップのサイズを縮小し位置ずれにある程度頑健にする層」。プーリング層は似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-048,CNN,難,フィルタ（カーネル）の説明として最も適切なものはどれか。,文章の語順を表すAttention機構,報酬を最大化する方策,個人情報を匿名化する処理,入力上を移動しながら局所特徴を検出する小さな重み行列,D,正解は「入力上を移動しながら局所特徴を検出する小さな重み行列」。フィルタ（カーネル）は似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-049,CNN,難,パディングの説明として最も適切なものはどれか。,入力の周囲を埋めて出力サイズや端の情報を調整する処理,文章の語順を表すAttention機構,報酬を最大化する方策,個人情報を匿名化する処理,A,正解は「入力の周囲を埋めて出力サイズや端の情報を調整する処理」。パディングは似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
G2-050,CNN,難,ストライドの説明として最も適切なものはどれか。,文章の語順を表すAttention機構,畳み込みフィルタを動かす間隔,報酬を最大化する方策,個人情報を匿名化する処理,B,正解は「畳み込みフィルタを動かす間隔」。ストライドは似た用語と混同されやすいので、定義と用途をセットで押さえる。,未
